"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
3044,40.6800105,-73.938475,1179,"NYC","Albany Ave & Fulton St"
3047,40.6823687,-73.944118,2198,"NYC","Halsey St & Tompkins Ave"
3048,40.68402,-73.94977,1542,"NYC","Putnam Ave & Nostrand Ave"
3049,40.68488,-73.96304,2137,"NYC","Cambridge Pl & Gates Ave"
305,40.76095756,-73.96724467,9451,"NYC","E 58 St & 3 Ave"
3050,40.6851532,-73.94111,1862,"NYC","Putnam Ave & Throop Ave"
3052,40.686312,-73.935775,2568,"NYC","Lewis Ave & Madison St"
3053,40.6900815,-73.947915,2445,"NYC","Marcy Ave & Lafayette Ave"
3054,40.6894932,-73.942061,1757,"NYC","Greene Ave & Throop Ave"
3055,40.6883337,-73.950916,2312,"NYC","Greene Ave & Nostrand Ave"
3056,40.69072549,-73.95133465,2246,"NYC","Kosciuszko St & Nostrand Ave"
3057,40.69128258,-73.9452416,2352,"NYC","Kosciuszko St & Tompkins Ave"
3058,40.69237074,-73.93705428,1491,"NYC","Lewis Ave & Kosciuszko St"
3059,40.6933982,-73.939877,1230,"NYC","Pulaski St & Marcus Garvey Blvd"
3060,40.69425403,-73.94626915,2064,"NYC","Willoughby Ave & Tompkins Ave"
3061,40.69622937,-73.94371094,1055,"NYC","Throop Ave & Myrtle Ave"
3062,40.69539817,-73.94954908,1785,"NYC","Myrtle Ave & Marcy Ave"
3063,40.69527008,-73.95238108,1362,"NYC","Nostrand Ave & Myrtle Ave"
3064,40.69681963,-73.93756926,1498,"NYC","Myrtle Ave & Lewis Ave"
3065,40.70029511,-73.95032283,1558,"NYC","Union Ave & Wallabout St"
3066,40.69957608,-73.94708417,1572,"NYC","Tompkins Ave & Hopkins St"
3067,40.7016657,-73.9437303,2375,"NYC","Broadway & Whipple St"
3068,40.7031724,-73.940636,1357,"NYC","Humboldt St & Varet St"
3069,40.70411791,-73.94818595,1235,"NYC","Lorimer St & Broadway"
307,40.71427487,-73.98990025,11065,"NYC","Canal St & Rutgers St"
3070,40.70510918,-73.94407279,1888,"NYC","McKibbin St & Manhattan Ave"
3071,40.70538077,-73.94976519,2094,"NYC","Boerum St & Broadway"
3072,40.70583339,-73.94644578,1513,"NYC","Leonard St & Boerum St"
3074,40.70767788,-73.94016171,3008,"NYC","Montrose Ave & Bushwick Ave"
3075,40.70708701,-73.95796783,856,"NYC","Division Ave & Marcy Ave"
3076,40.70870368,-73.9448625,3389,"NYC","Scholes St & Manhattan Ave"
3077,40.70877084,-73.95095259,4448,"NYC","Stagg St & Union Ave"
3078,40.7092482627616,-73.9606314897537,3909,"NYC","Broadway & Roebling St"
308,40.71307916,-73.99851193,4448,"NYC","St James Pl & Oliver St"
